type,label,Far End (FE),Near End (NE),total_distance_m,segment_count,request_id,Lat_FE,Lon_FE,Lat_NE,Lon_NE
ors,new-build,Site Kotamobagu,Site Ksatria,6430.07164659195,1,2,0.707790676,124.317556,0.749254305,124.310462
ors,new-build,Site Mahawu,Site Bitung,31189.78661603434,1,3,1.517324785,124.8510281,1.50789,125.037624
ors,new-build,Site Tiwoho,Site Mahawu,14616.258467173999,1,1,1.566993,124.910755,1.517335517,124.8510361
