type,label,Far End (FE),Near End (NE),total_distance_m,segment_count,request_id,Lat_FE,Lon_FE,Lat_NE,Lon_NE
nx,overlapped,Site Kotamobagu,Site Ksatria,8080.742454650096,1,2,0.707790676,124.317556,0.749254305,124.310462
nx,overlapped,Site Mahawu,Site Bitung,28344.834929121524,1,3,1.517324785,124.8510281,1.50789,125.037624
nx,overlapped,Site Tiwoho,Site Mahawu,18735.08142591883,1,1,1.566993,124.910755,1.517335517,124.8510361
ors,new-build,Site Kotamobagu,Site Ksatria,82.37976424948474,2,2,0.707790676,124.317556,0.749254305,124.310462
ors,new-build,Site Mahawu,Site Bitung,7111.243878138376,2,3,1.517324785,124.8510281,1.50789,125.037624
ors,new-build,Site Tiwoho,Site Mahawu,4957.688056567375,2,1,1.566993,124.910755,1.517335517,124.8510361
